# UDDS profile from SLIDE https://github.com/davidhowey/SLIDE/blob/master/Current%20Profile%20drive%20cycle%20UDDS.csv	
# with a maximum current of 0.81A	
# Time [s]	 Current [A]
390	0.27857
391	0.25347
392	0.23162
393	0.15639
394	0.16575
395	0.11207
396	0.058236
397	0.00742
398	-0.0030392
399	-0.0030392
400	-0.0030392
401	-0.0030392
402	-0.0030392
403	-0.031331
404	-0.11844
405	-0.20813
406	-0.29799
407	-0.3881
408	-0.47856
409	-0.56946
410	-0.52363
411	-0.17063
412	-0.44486
413	-0.38734
414	-0.29184
415	-0.089817
416	-0.043639
417	0.00089279
418	0.016693
419	0.032043
420	0.076828
421	0.38207
422	0.37461
423	0.3221
424	0.26921
425	0.21599
426	0.1625
427	0.10881
428	0.05497
429	0.005413
430	-0.0030392
431	-0.0030392
432	-0.0030392
433	-0.0030392
434	-0.0030392
435	-0.0030392
436	-0.0030392
437	-0.0030392
438	-0.0030392
439	-0.0030392
440	-0.0030392
441	-0.0030392
442	-0.0030392
443	-0.0030392
444	-0.0030392
445	-0.0030392
446	-0.0030392
447	-0.0030392
448	-0.045558
449	-0.13745
450	-0.22717
451	-0.31708
452	-0.40726
453	-0.49781
454	-0.5888
455	-0.68034
456	-0.35019
457	-0.34646
458	-0.6262
459	-0.44483
460	-0.22988
461	-0.39448
462	-0.16216
463	-0.21869
464	-0.22225
465	-0.057542
466	-0.11292
467	-0.11333
468	-0.029941
469	-0.0022905
470	-0.16718
471	-0.085065
472	0.016759
473	-0.05627
474	-0.056018
475	-0.028527
476	-0.082431
477	-0.082431
478	-0.082431
479	-0.082431
480	-0.082431
481	-0.028182
482	-0.10887
483	-0.10927
484	-0.16438
485	-0.0019472
486	-0.028182
487	-0.081781
488	-0.081781
489	-0.02784
490	-0.027502
491	-0.053791
492	0.12533
493	0.20837
494	0.26435
495	0.279
496	0.31452
497	0.34663
498	0.2722
499	0.29169
500	0.2386
501	0.16347
502	0.13044
503	0.08545
504	0.033829
505	-0.00098498
506	-0.0030392
507	-0.0030392
508	-0.0030392
509	-0.0030392
510	-0.0030392
511	-0.008804
512	-0.048757
513	-0.080215
514	-0.05981
515	-0.13176
516	-0.095787
517	-0.090648
518	-0.14385
519	-0.23578
520	-0.26141
521	-0.25478
522	-0.22113
523	-0.20568
524	-0.18477
525	-0.21004
526	-0.22006
527	-0.19315
528	-0.18103
529	-0.1284
530	-0.072262
531	-0.053212
532	-0.053212
533	-0.053212
534	-0.053212
535	-0.053212
536	-0.17063
537	-0.094488
538	-0.095308
539	0.015706
540	0.015563
541	-0.014882
542	-0.053212
543	-0.053212
544	0.041548
545	0.1285
546	0.34443
547	0.29169
548	0.2386
549	0.18522
550	0.13161
551	0.077824
552	0.02393
553	-0.0030392
554	-0.0030392
555	-0.0030392
556	-0.0030392
557	-0.0030392
558	-0.0030392
559	-0.0030392
560	-0.0030392
561	-0.0030392
562	-0.0030392
563	-0.0030392
564	-0.0030392
565	-0.0030392
566	-0.0030392
567	-0.0030392
568	-0.0030392
569	-0.045558
570	-0.13745
571	-0.22717
572	-0.29673
573	-0.19811
574	-0.19604
575	-0.16067
576	-0.034844
577	-0.034844
578	-0.10169
579	-0.063179
580	-0.036328
581	-0.0090511
582	0.020459
583	-0.021707
584	0.0020477
585	-0.086094
586	-0.048059
587	-0.02184
588	0.010987
589	-0.021176
590	-0.033797
591	-0.046627
592	-0.086094
593	-0.11529
594	-0.16198
595	-0.14026
596	-0.19214
597	-0.1694
598	-0.059916
599	-0.060222
600	-0.11034
601	-0.1125
602	-0.11466
603	-0.064251
604	-0.047113
605	-0.047113
606	-0.082093
607	-0.22711
608	-0.31427
609	-0.23133
610	-0.15727
611	-0.16049
612	0.086501
613	0.39201
614	0.33965
615	0.28688
616	0.23376
617	0.18035
618	0.12672
619	0.072928
620	0.019085
621	-0.0030392
622	-0.0030392
623	-0.0030392
624	-0.0030392
625	-0.0030392
626	-0.0030392
627	-0.0030392
628	-0.0030392
629	-0.0030392
630	-0.0030392
631	-0.0030392
632	-0.0030392
633	-0.0030392
634	-0.0030392
635	-0.0030392
636	-0.0030392
637	-0.0030392
638	-0.0030392
639	-0.0030392
640	-0.0030392
641	-0.0030392
642	-0.0030392
643	-0.0030392
644	-0.0030392
645	-0.0030392
646	-0.018804
647	-0.071272
648	-0.17006
649	-0.18527
650	-0.22432
651	-0.18007
652	-0.17646
653	-0.31102
654	-0.33766
655	-0.26051
656	-0.24425
657	-0.24006
658	-0.27092
659	-0.20606
660	-0.11303
661	-0.13455
662	-0.075904
663	-0.076239
664	-0.056272
665	-0.096954
666	-0.077247
667	-0.057051
668	0.02981
669	0.029373
670	0.21094
671	0.22958
672	0.27808
673	0.16913
674	0.13327
675	0.18176
676	0.14091
677	0.099899
678	0.048191
679	0.015567
680	0.0063899
681	-0.0030392
682	-0.0030392
683	-0.0030392
684	-0.0030392
685	-0.0030392
686	-0.0030392
687	-0.0030392
688	-0.0030392
689	-0.0030392
690	-0.0030392
691	-0.0030392
692	-0.0030392
693	-0.0030392
694	-0.010842
695	-0.041524
696	-0.0424
697	-0.10072
698	-0.18005
699	-0.18702
700	-0.23537
701	-0.14766
702	-0.24627
703	-0.072077
704	-0.0084784
705	-0.033797
706	-0.26237
707	-0.18225
708	-0.17653
709	-0.26702
710	-0.21505
711	-0.047113
712	0.014223
713	-0.15019
714	-0.15438
715	-0.085239
716	0.087906
717	0.072699
718	0.091902
719	0.22745
720	0.23887
721	0.19526
722	0.15143
723	0.10081
724	0.038814
725	0.022325
726	0.0060746
727	0.0064513
728	-0.0039162
729	-0.044724
730	-0.13474
731	-0.20934
732	-0.26944
733	-0.18007
734	-0.26141
735	-0.29627
736	-0.26996
737	-0.34276
738	-0.32091
739	-0.30634
740	-0.24535
741	-0.25557
742	-0.18141
743	-0.16438
744	-0.12433
745	-0.14768
746	-0.12784
747	-0.06267
748	0.0013617
749	-0.040005
750	-0.01812
751	0.031052
752	0.059421
753	0.14089
754	0.22354
755	0.20566
756	0.23918
757	0.20978
758	0.1104
759	0.15447
760	0.16384
761	0.12013
762	0.069665
763	0.012186
764	-0.0056714
765	0.0010689
766	-0.0026772
767	-0.03823
768	-0.1293
769	-0.21901
770	-0.30889
771	-0.34943
772	-0.25175
773	-0.16107
774	-0.19929
775	-0.22701
776	-0.25778
777	-0.25581
778	-0.3844
779	-0.35196
780	-0.26585
781	-0.16698
782	-0.12634
783	-0.19453
784	-0.063498
785	-0.063498
786	-0.041191
787	0.0013006
788	-0.018476
789	-0.061849
790	-0.061849
791	-0.040005
792	0.045995
793	-0.038653
794	-0.05969
795	-0.05969
796	-0.05969
797	-0.05969
798	-0.05969
799	-0.080995
800	-0.14595
801	-0.17025
802	-0.40161
803	-0.30236
804	-0.31295
805	-0.32362
806	-0.075465
807	-0.22988
808	-0.18181
809	-0.15776
810	-0.053063
811	-0.026508
812	-0.078582
813	-0.052344
814	-0.0009477
815	0.034711
816	-0.050229
817	0.034398
818	0.034122
819	-0.047732
820	0.000097878
821	-0.046848
822	0.099389
823	0.049016
824	-0.043431
825	-0.066301
826	-0.066301
827	-0.066301
828	0.0009295
829	-0.042606
830	-0.065171
831	-0.01971
832	0.016618
833	0.062011
834	0.031209
835	0.059797
836	0.1693
837	0.19829
838	0.17237
839	0.13793
840	0.10787
841	-0.039579
842	-0.17653
843	-0.16856
844	-0.12526
845	-0.14532
846	-0.14949
847	-0.15368
848	-0.19487
849	-0.24027
850	-0.25046
851	-0.1778
852	-0.057312
853	-0.098611
854	-0.099443
855	-0.10028
856	-0.18649
857	-0.12533
858	-0.21529
859	-0.085528
860	-0.085881
861	-0.086236
862	-0.041592
863	0.092351
864	0.045863
865	0.030649
866	0.12814
867	0.069556
868	0.028468
869	-0.10917
870	-0.11061
871	-0.13175
872	-0.094079
873	-0.15534
874	-0.20001
875	-0.18431
876	-0.12383
877	-0.19086
878	-0.19527
879	-0.10877
880	-0.041793
881	-0.041592
882	-0.041391
883	0.016535
884	0.016444
885	-0.039615
886	-0.061034
887	0.016319
888	0.016211
889	0.044655
890	-0.14022
891	-0.16373
892	-0.12383
893	-0.10364
894	-0.017885
895	-0.10364
896	-0.061034
897	-0.061034
898	0.0015336
899	0.0016132
900	0.030567
901	0.0018052
902	-0.036778
903	-0.057051
904	-0.057051
905	-0.016214
906	-0.036228
907	-0.056272
908	0.0019494
909	0.0020046
910	-0.05473
911	-0.11448
912	-0.035504
913	0.0020221
914	0.081994
915	0.1045
916	0.12379
917	0.037304
918	-0.045003
919	-0.061761
920	-0.19952
921	-0.18973
922	-0.15929
923	-0.088021
924	-0.088821
925	-0.14706
926	-0.09164
927	-0.072918
928	-0.073248
929	-0.093264
930	0.0020721
931	-0.014882
932	-0.053212
933	-0.053212
934	0.002147
935	-0.014398
936	-0.014208
937	-0.051467
938	-0.089222
939	-0.1477
940	-0.053212
941	0.015334
942	-0.052211
943	0.028094
944	-0.12617
945	-0.16707
946	-0.15151
947	0.029016
948	0.10656
949	0.21015
950	0.18141
951	0.28747
952	0.24505
953	0.1917
954	0.13812
955	0.08435
956	0.030467
957	-0.002856
958	-0.0030392
959	-0.0030392
960	-0.018804
961	-0.10214
962	-0.19181
963	-0.28163
964	-0.37169
965	-0.32264
966	-0.18973
967	-0.24753
968	-0.21637
969	-0.19398
970	-0.22006
971	-0.32394
972	-0.40561
973	-0.30617
974	-0.18867
975	-0.12684
976	-0.084121
977	-0.062396
978	-0.062396
979	0.07612
980	-0.017539
981	0.0016639
982	0.016096
983	0.0018271
984	0.02981
985	0.0019866
986	0.029106
987	0.11984
988	0.21015
989	0.025507
990	-0.044771
991	-0.095046
992	-0.16547
993	-0.13514
994	-0.012861
995	-0.047826
996	-0.083269
997	0.0023436
998	-0.047588
999	-0.047588
1000	-0.19059
1001	-0.14139
1002	-0.16353
1003	-0.090428
1004	-0.11061
1005	-0.13175
1006	-0.074239
1007	-0.034967
1008	0.028926
1009	0.08047
1010	0.014963
1011	0.027228
1012	0.0023311
1013	0.014417
1014	0.026025
1015	0.013972
1016	0.091902
1017	0.27501
1018	0.25472
1019	0.20142
1020	0.14787
1021	0.094137
1022	0.04027
1023	-0.00098498
1024	-0.0030392
1025	-0.0030392
1026	-0.0030392
1027	-0.0030392
1028	-0.0030392
1029	-0.0030392
1030	-0.0030392
1031	-0.0030392
1032	-0.0030392
1033	-0.0030392
1034	-0.0030392
1035	-0.0030392
1036	-0.0030392
1037	-0.0030392
1038	-0.0030392
1039	-0.0030392
1040	-0.0030392
1041	-0.0030392
1042	-0.0030392
1043	-0.0030392
1044	-0.0030392
1045	-0.0030392
1046	-0.0030392
1047	-0.0030392
1048	-0.0030392
1049	-0.0030392
1050	-0.0030392
1051	-0.0030392
1052	-0.0030392
1053	-0.008804
1054	-0.063625
1055	-0.15647
1056	-0.24622
1057	-0.33618
1058	-0.39993
1059	-0.24115
1060	-0.26168
1061	-0.33259
1062	-0.2535
1063	-0.23014
1064	-0.20174
1065	-0.20866
1066	-0.23606
1067	-0.11888
1068	-0.18358
1069	-0.16633
1070	-0.14768
1071	0.0014498
1072	0.031052
1073	0.030649
1074	-0.058362
1075	0.058474
1076	0.20454
1077	0.21462
1078	0.084235
1079	0.069524
