Time [s],Current [A],Terminal voltage [V],Loss of charge to sei [Ah]
0.0,8.315135813101541,3.8999999999999995,1.2139787036465845e-18
59.99999999999999,3.399617249113437,3.9,4.332359639554167e-07
119.99999999999999,2.424347368753126,3.9,8.816996100904689e-07
180.0,1.8974308094563275,3.8999999999999986,1.3248224791021426e-06
239.99999999999997,1.5383175026416922,3.9,1.7612531623490186e-06
300.0,1.272046687309271,3.9,2.191596136249432e-06
360.0,1.0653667329925405,3.9,2.616664996130976e-06
419.99999999999994,0.8999374482654037,3.9000000000000004,3.0372316000062394e-06
479.99999999999994,0.7646721676410694,3.9000000000000017,3.4539770018674488e-06
540.0,0.6524244916058004,3.8999999999999977,3.867487088564456e-06
600.0,0.5583268259361015,3.9,4.278259139220602e-06
659.9999999999999,0.47889230272963007,3.9000000000000004,4.686712283295056e-06
720.0,0.41150781791957947,3.8999999999999995,5.093199133378349e-06
779.9999999999999,0.3541410724357328,3.8999999999999986,5.4980160092372595e-06
839.9999999999999,0.30517709484550104,3.9000000000000083,5.9014114536289735e-06
899.9999999999999,0.26329641351546873,3.9,6.303594980014327e-06
959.9999999999999,0.22741335227954426,3.9,6.704743163878045e-06
1020.0,0.19662429712746574,3.9,7.105004983580704e-06
1080.0,0.17017030269358624,3.9,7.504506840371906e-06
1140.0,0.14741055021405747,3.9,7.90335631265462e-06
1200.0,0.12780729115057515,3.9,8.301644277081556e-06
1259.9999999999998,0.11090416579154387,3.9,8.69944832159437e-06
1319.9999999999998,0.0963144152575826,3.9,9.096834630086763e-06
1379.9999999999998,0.08370874038427142,3.8999999999999995,9.49385988131725e-06
1440.0,0.07280621334000788,3.9,9.890572775928048e-06
1500.0,0.0633664553038601,3.9,1.0287015263001822e-05
1559.9999999999998,0.05518988944313756,3.9,1.0683222379573693e-05
1619.9999999999998,0.04809212339934393,3.9000000000000004,1.1079226923436798e-05
1679.9999999999998,0.041934726638731434,3.9,1.1475053532996674e-05
1740.0,0.036586658865867545,3.9,1.1870725786178053e-05
1799.9999999999998,0.03193732874489075,3.9,1.2266263739656036e-05
1859.9999999999998,0.027893077003846484,3.8999999999999995,1.2661684514345879e-05
1919.9999999999998,0.024371300362279365,3.9,1.3057003362189207e-05
1979.9999999999998,0.021304840471026133,3.9000000000000012,1.3452232747868966e-05
2040.0,0.0186313724842867,3.900000000000004,1.384738434524595e-05
2099.9999999999995,0.01629933144336581,3.9,1.4242467897391532e-05
2160.0,0.014264700167646431,3.9,1.4637491790819008e-05
2220.0,0.01248857694503339,3.9,1.5032463477533006e-05
2280.0,0.010937682669101665,3.9000000000000004,1.542738938580813e-05
2340.0,0.009582584122292417,3.8999999999999995,1.582227524743147e-05
2400.0,0.008397804090176944,3.9,1.6217126056064364e-05
2460.0,0.007362036942411143,3.9,1.661194600587577e-05
2519.9999999999995,0.006453806664892572,3.9,1.7006739394705987e-05
2579.9999999999995,0.0056587424855600605,3.9000000000000004,1.7401509090424322e-05
2639.9999999999995,0.004963195318169364,3.9,1.7796257841244253e-05
2699.9999999999995,0.004354684140704175,3.9,1.81909881737189e-05
2759.9999999999995,0.0038239738247065414,3.9,1.858570193928476e-05
2820.0,0.003355936863174213,3.9,1.898040229090188e-05
2880.0,0.0029454726437603434,3.9,1.9375090259686146e-05
2940.0,0.002585815079498088,3.9,1.976976724765185e-05
3000.0,0.002270636370795322,3.9,2.0164434571604114e-05
3059.9999999999995,0.001995160840142952,3.9,2.0559093217353135e-05
3119.9999999999995,0.00175207655103765,3.9,2.0953744745464897e-05
3179.9999999999995,0.0015386808843661963,3.9,2.1348389716577826e-05
3239.9999999999995,0.0013514804270021654,3.9,2.1743028871561275e-05
3299.9999999999995,0.0011873156426705828,3.9,2.2137662882461712e-05
3359.9999999999995,0.0010448724749676371,3.8999999999999995,2.2532292006861146e-05
3420.0,0.0009188666276068475,3.9,2.2926917408535397e-05
3480.0,0.0008071807022314486,3.9000000000000004,2.3321539546645205e-05
3540.0,0.0007088164846887709,3.9,2.3716158625719278e-05
3599.9999999999995,0.0006225729294901728,3.9,2.4110774906232522e-05
3659.9999999999995,0.0005479793511981775,3.9,2.4505388471688465e-05
3719.9999999999995,0.00048160618885441424,3.9,2.4900000099703596e-05
3779.9999999999995,0.0004229551338503159,3.9,2.5294609890715227e-05
3839.9999999999995,0.0003712794278186218,3.9,2.568921800314272e-05
3899.9999999999995,0.00032598208843418375,3.9,2.6083824568676062e-05
3959.9999999999995,0.0002868030384121592,3.9,2.647842962843635e-05
4020.0,0.00025192654788032956,3.9,2.687303360978172e-05
4080.0,0.00022108413753283538,3.9,2.726763656295633e-05
4139.999999999999,0.00019368450149815307,3.9,2.766223861662006e-05
4199.999999999999,0.00016964906541263843,3.9,2.805683978849944e-05
4259.999999999999,0.00014923323197204574,3.9,2.8451439997455763e-05
4320.0,0.000131407162891434,3.9,2.8846039484032846e-05
4380.0,0.00011532011241862058,3.9,2.9240638471883197e-05
4440.0,0.00010099118189311466,3.9,2.9635236945641486e-05
4499.999999999999,8.836799455907267e-05,3.9,3.0029834907228233e-05
4560.0,7.753193210295384e-05,3.9,3.0424432313420938e-05
4619.999999999999,6.806802262363074e-05,3.9,3.081902926903573e-05
4676.877306771485,6.000000000000005e-05,3.9,3.119308916228692e-05
