Time [s],Current [A],Terminal voltage [V],Loss of charge to sei [Ah]
6240.0,-1.2776490302325508e-05,3.9,0.00016975207542125725
6300.000000000001,-1.3089134389878235e-05,3.9,0.00017135937688356195
6360.0,-1.337322626473154e-05,3.9,0.00017296632970028173
6420.0,-1.3613709553154591e-05,3.9,0.0001745726652745968
6480.0,-1.3805338220220786e-05,3.9,0.00017617809897027415
6540.0,-1.3994542171387984e-05,3.9,0.00017778348775994082
6600.0,-1.4165670149692955e-05,3.9,0.00017938850364832993
6660.0,-1.4320994677264887e-05,3.9,0.00018099317237592474
6720.000000000001,-1.4452182067827e-05,3.9,0.00018259722648822667
6780.0,-1.4556326909961206e-05,3.9,0.00018420038255624138
6840.000000000001,-1.4659129595550748e-05,3.9,0.0001858034939091691
6900.0,-1.4751925693563156e-05,3.9,0.00018740623394503957
6960.000000000001,-1.4835973548125116e-05,3.9,0.00018900862829440674
7020.0,-1.4906660576646286e-05,3.9,0.00019061041063700071
7080.0,-1.496237790110478e-05,3.9,0.00019221129874257296
7140.0,-1.5017352259455755e-05,3.9,0.00019381214232262823
7200.0,-1.5066786593344172e-05,3.9,0.00019541261615866226
7260.0,-1.5111377958033072e-05,3.9,0.00019701274577208131
7320.0,-1.5148573828631535e-05,3.9,0.00019861226596884545
7380.000000000001,-1.5177483599814454e-05,3.9,0.0002002108957090377
7440.0,-1.5205982120972418e-05,3.9,0.00020180948111193556
7500.000000000001,-1.5231413425477033e-05,3.9,0.00020340769833278633
7560.0,-1.525416382750748e-05,3.9,0.0002050055727846014
7620.000000000001,-1.527282145229119e-05,3.9,0.00020660284039167255
7680.0,-1.5286893619480763e-05,3.9,0.00020819922129604893
7740.0,-1.530073820464481e-05,3.9,0.00020979555805004474
7800.0,-1.5312884817506544e-05,3.9,0.00021139152817298845
7860.0,-1.5323547635751856e-05,3.9,0.00021298715697027465
7920.000000000001,-1.533194650100463e-05,3.9,0.00021458218147668947
7980.0,-1.5337809162314815e-05,3.9,0.00021617632300799177
8040.000000000001,-1.5343545948912938e-05,3.9,0.0002177704205745163
8100.0,-1.534834293692226e-05,3.9,0.00021936415305013197
8160.000000000001,-1.535231912874137e-05,3.9,0.00022095754563336434
8220.0,-1.535504415168575e-05,3.9,0.0002225503364617341
8280.0,-1.535636781281595e-05,3.9,0.00022414224801653264
8340.0,-1.5357621922980202e-05,3.9,0.00022573411579085236
8400.0,-1.535835615821478e-05,3.9,0.00022732562000365544
8460.0,-1.5358636741195063e-05,3.9,0.0002289167857473572
8520.0,-1.5358227049093967e-05,3.9,0.00023050735225451507
8580.0,-1.5357044534524125e-05,3.9,0.00023209704316385195
8640.000000000002,-1.535582366430633e-05,3.9,0.00023368669047573191
8700.0,-1.5354315491864386e-05,3.9,0.00023527597574483477
8760.0,-1.535255699871671e-05,3.9,0.00023686492395820618
8820.0,-1.5350418902249887e-05,3.9,0.00023845327543584196
8880.000000000002,-1.5347856103225546e-05,3.9,0.00024004075496587097
8940.0,-1.534527222617918e-05,3.9,0.00024162819108019268
9000.0,-1.5342529821399762e-05,3.9,0.00024321526665993344
9060.0,-1.5339649761823383e-05,3.9,0.00024480200658750725
9120.0,-1.5336562105023443e-05,3.9,0.0002463881522628048
9180.000000000002,-1.5333242605214235e-05,3.9,0.0002479734296154214
9240.0,-1.5329911599402012e-05,3.9,0.00024955866373281777
9300.0,-1.5326493410420423e-05,3.9,0.00025114353881339636
9360.0,-1.532299991597755e-05,3.9,0.00025272807963565476
9420.000000000002,-1.5319394152379162e-05,3.9,0.0002543120286719183
9480.0,-1.5315663298630914e-05,3.9,0.0002558951129853884
9540.0,-1.531192623704164e-05,3.9,0.0002574781542428726
9600.0,-1.5308141526606427e-05,3.9,0.00025906083795095307
9660.0,-1.530431604846776e-05,3.9,0.00026064318878495004
9720.000000000002,-1.530043105460799e-05,3.9,0.00026222495028222344
9780.0,-1.529648012615801e-05,3.9,0.0002638058506317712
9840.0,-1.5292525925931828e-05,3.9,0.0002653867081033496
9900.0,-1.528854594468096e-05,3.9,0.00026696720950269477
9960.000000000002,-1.5284544314097208e-05,3.9,0.0002685473794026551
10020.0,-1.5280512429424498e-05,3.9,0.00027012696239832144
10080.0,-1.5276447330159877e-05,3.9,0.00027170568779677967
10140.0,-1.5272380583005657e-05,3.9,0.00027328437049404684
10200.000000000002,-1.5268300155256617e-05,3.9,0.0002748626985861122
10260.0,-1.526420871025158e-05,3.9,0.00027644069654406096
10320.0,-1.5260103154197196e-05,3.9,0.00027801811001345944
10380.0,-1.5255982488648152e-05,3.9,0.0002795946694118257
10440.0,-1.5251861073768716e-05,3.9,0.0002811711862845774
10500.000000000002,-1.5247732695066426e-05,3.9,0.0002827473500091094
10560.0,-1.5243599142695427e-05,3.9,0.0002843231849554528
10620.0,-1.5239460433846174e-05,3.9,0.0002858984378124563
10680.0,-1.5235316645474093e-05,3.9,0.0002874728401005146
10740.000000000002,-1.5231172605623634e-05,3.9,0.00028904720003733176
10800.0,-1.5227025274287805e-05,3.9,0.0002906212082729675
10860.0,-1.5222876051945372e-05,3.9,0.00029219488907708134
10920.0,-1.5218726568691124e-05,3.9,0.0002937679901747012
10980.0,-1.5214577552547151e-05,3.9,0.0002953402441815898
11040.000000000002,-1.5210428560200565e-05,3.9,0.0002969124560104261
11100.0,-1.5206278364480388e-05,3.9,0.00029848431757526297
11160.0,-1.5202127998358309e-05,3.9,0.0003000558530460765
11220.0,-1.5197980123556023e-05,3.9,0.0003016268111770293
11280.000000000002,-1.5193835753806071e-05,3.9,0.00030319692567183496
11340.0,-1.5189691558647417e-05,3.9,0.00030476699816059074
11400.0,-1.5185547291424515e-05,3.9,0.0003063367218127676
11460.0,-1.5181403809007126e-05,3.9,0.0003079061206993404
11520.000000000002,-1.5177264345381392e-05,3.9,0.0003094749445966345
11580.000000000002,-1.5173130050950723e-05,3.9,0.00031104292828894043
11640.0,-1.5168996013657665e-05,3.9,0.0003126108701460374
11700.0,-1.5164862502830695e-05,3.9,0.00031417846458431137
11760.0,-1.5160730305865514e-05,3.9,0.00031574573557640613
11820.000000000002,-1.5156602962190873e-05,3.9,0.00031731243391388896
11880.0,-1.5152481689203756e-05,3.9,0.0003188782954543546
11940.0,-1.514836071805461e-05,3.9,0.000320444115329306
12000.0,-1.5144240591734977e-05,3.9,0.0003220095891936023
12060.000000000002,-1.5140122098287582e-05,3.9,0.0003235747409222398
12120.0,-1.5136008875321585e-05,3.9,0.00032513932231517965
12180.0,-1.513190220941948e-05,3.9,0.0003267030702960973
12240.0,-1.5127795869464839e-05,3.9,0.0003282667767800374
12300.0,-1.5123690518433713e-05,3.9,0.00032983013865201644
12360.000000000002,-1.5119586987938188e-05,3.9,0.00033139317969002537
12420.0,-1.5115488963849833e-05,3.9,0.0003329556526956439
12480.0,-1.5111397725067239e-05,3.9,0.0003345172956514781
12540.0,-1.5107306823575847e-05,3.9,0.0003360788972777436
12600.000000000002,-1.5103217022085576e-05,3.9,0.00033764015568134233
12660.0,-1.5099129118116346e-05,3.9,0.00033920109454392626
12720.0,-1.5095046781110085e-05,3.9,0.00034076146766195725
12780.0,-1.5090971381997145e-05,3.9,0.00034232101406989827
12840.0,-1.508689632785379e-05,3.9,0.0003438805193145565
12900.000000000002,-1.5082822443345988e-05,3.9,0.00034543968271653094
12960.0,-1.5078750468377346e-05,3.9,0.0003469985278617732
13020.0,-1.5074684104704375e-05,3.9,0.0003485568095349992
13080.0,-1.507062472887122e-05,3.9,0.000350114267815497
13140.000000000002,-1.5066565700444907e-05,3.9,0.0003516716850978824
13200.0,-1.5062507838657576e-05,3.9,0.00035322876190834807
13260.0,-1.5058451895176365e-05,3.9,0.0003547855217377874
13320.0,-1.5054401617082691e-05,3.9,0.0003563417203525723
13380.000000000002,-1.5050358312443514e-05,3.9,0.00035789709886985765
13440.000000000002,-1.5046315354489717e-05,3.9,0.00035945243655310347
13500.0,-1.5042273569056673e-05,3.9,0.000361007435126056
13560.0,-1.503823369742602e-05,3.9,0.00036256211798519505
13620.0,-1.5034199475577051e-05,3.9,0.0003641162418720016
13680.000000000002,-1.5030172224107764e-05,3.9,0.00036566954893462367
13740.0,-1.5026145319148159e-05,3.9,0.00036722281532619377
13800.0,-1.5022119603663453e-05,3.9,0.0003687757439600395
13860.0,-1.501809575897782e-05,3.9,0.0003703283581388585
13920.000000000002,-1.501407755314399e-05,3.9,0.0003718804155727882
